                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2063,                 3.0315,                 2.3711,                0.08108,                0.14014,                 0.0541,                0.01968,                 2.2281,                 3.5265,                 2.5935,             0.00047464,             0.00047464,             0.00047464
                      2,                 2.0659,                 2.7496,                 2.1961,                0.21679,                0.30319,                0.15254,                 0.0696,                 2.0501,                 3.0002,                 2.3295,             0.00094156,             0.00094156,             0.00094156
                      3,                 1.9717,                 2.5772,                 2.0718,                0.44864,                0.27299,                0.27276,                0.15357,                 1.9221,                 2.8186,                  2.195,              0.0013991,              0.0013991,              0.0013991
                      4,                 1.8864,                   2.37,                 1.9717,                0.33442,                0.26479,                 0.2014,                0.10193,                  1.887,                  2.811,                 2.1959,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.8207,                  2.239,                 1.9014,                0.61427,                0.38746,                0.39672,                 0.2099,                 1.7683,                  2.537,                  2.042,              0.0013866,              0.0013866,              0.0013866
                      6,                  1.761,                 2.1184,                 1.8336,                0.46674,                0.40484,                0.40696,                0.23058,                 1.7394,                 2.2793,                 2.0115,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.6776,                 1.9842,                 1.7628,                0.74727,                0.38061,                0.44765,                0.25994,                 1.6329,                 2.1684,                 1.8745,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.6343,                 1.9119,                 1.7213,                0.59362,                 0.4331,                0.44473,                  0.244,                 1.7712,                 2.2229,                 1.9945,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.6139,                 1.8815,                 1.7002,                0.64819,                0.39676,                0.43147,                0.26592,                 1.6172,                 2.0583,                 1.8298,                0.00133,                0.00133,                0.00133
                     10,                 1.5982,                 1.8018,                  1.667,                0.67879,                0.47168,                0.51301,                0.29777,                 1.7014,                 2.1179,                 2.0194,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.5402,                 1.7444,                   1.62,                0.59564,                0.43939,                0.49973,                0.28597,                 1.6479,                 2.0517,                 1.8788,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.5075,                 1.6745,                 1.5969,                0.65444,                0.50285,                0.53885,                0.32147,                 1.5632,                 1.8379,                 1.7486,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.5154,                 1.6408,                 1.5914,                0.59577,                 0.5819,                0.53889,                   0.34,                 1.5284,                 1.8913,                 1.7436,              0.0012734,              0.0012734,              0.0012734
                     14,                  1.486,                 1.6125,                 1.5707,                0.72899,                0.52545,                0.56672,                0.34791,                 1.5251,                 1.8611,                 1.7039,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.4621,                 1.5692,                 1.5454,                0.61215,                0.51426,                0.56207,                 0.3351,                  1.505,                 1.8888,                 1.7072,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.4454,                 1.5315,                 1.5261,                0.65848,                0.49308,                0.55016,                0.32983,                 1.5134,                 1.9172,                 1.7809,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.4351,                 1.4973,                  1.515,                0.65269,                0.49223,                 0.5049,                0.30919,                 1.5136,                 1.8158,                 1.7093,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.4062,                 1.4675,                 1.5001,                0.58299,                0.57219,                0.55848,                0.35159,                 1.4917,                 1.7619,                 1.7201,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.3978,                 1.4375,                 1.4909,                0.77904,                0.55302,                0.62622,                0.37643,                 1.4619,                 1.6338,                  1.646,              0.0011885,              0.0011885,              0.0011885
                     20,                  1.387,                 1.4397,                  1.476,                0.63763,                 0.4998,                0.51853,                0.33607,                 1.5028,                 1.7158,                 1.7759,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.3622,                 1.3824,                 1.4603,                0.67399,                0.49231,                0.54989,                0.35353,                 1.4534,                 1.8719,                 1.6582,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.3614,                 1.3691,                 1.4588,                0.58175,                0.56903,                0.55625,                0.36849,                 1.4122,                  1.702,                 1.6397,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.3508,                  1.359,                 1.4475,                0.66193,                0.49583,                0.53587,                0.34913,                 1.4047,                 1.6898,                 1.5982,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.3438,                 1.3279,                 1.4348,                0.69535,                0.55026,                0.59509,                0.37535,                 1.4346,                 1.5471,                 1.6504,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.3174,                 1.3093,                 1.4181,                 0.7611,                0.48563,                0.55769,                0.36855,                 1.3733,                 1.6862,                 1.5727,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.3188,                 1.2943,                 1.4211,                0.83121,                0.52734,                 0.6202,                0.40726,                 1.4036,                 1.5469,                 1.6008,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.2958,                  1.266,                  1.402,                 0.7998,                0.53678,                0.61985,                0.39848,                   1.39,                 1.6781,                 1.6146,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.3104,                 1.2604,                 1.4073,                0.74148,                0.50835,                0.59371,                0.37674,                 1.4217,                 1.5867,                 1.5855,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.2943,                 1.2351,                 1.3976,                0.71881,                0.52064,                 0.5907,                0.38125,                  1.395,                 1.6307,                 1.6316,               0.001047,               0.001047,               0.001047
                     30,                  1.281,                 1.2304,                  1.384,                0.76474,                0.53612,                0.61093,                0.39595,                 1.3761,                 1.4864,                 1.5675,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.2547,                 1.2063,                 1.3733,                0.69422,                0.58607,                0.61892,                0.40603,                 1.3297,                 1.4988,                 1.5665,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.2697,                 1.1996,                 1.3698,                0.74897,                0.53531,                0.61762,                0.39501,                  1.379,                 1.5292,                 1.6076,              0.0010046,              0.0010046,              0.0010046
                     33,                  1.253,                 1.1742,                 1.3663,                0.64428,                0.56563,                0.59369,                0.38346,                  1.395,                 1.5795,                 1.5962,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.2506,                 1.1784,                 1.3668,                0.75156,                0.56088,                0.59654,                0.38281,                 1.3551,                 1.5356,                 1.5401,             0.00097629,             0.00097629,             0.00097629
                     35,                  1.237,                 1.1632,                 1.3545,                0.73408,                0.56393,                0.62138,                0.40443,                 1.3382,                 1.5619,                 1.5261,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.2384,                 1.1489,                 1.3496,                0.70907,                0.57966,                0.62192,                0.38933,                 1.3693,                 1.4901,                 1.6326,               0.000948,               0.000948,               0.000948
                     37,                 1.2153,                  1.131,                 1.3421,                0.64287,                0.64874,                0.61975,                0.41509,                 1.3541,                 1.5176,                 1.5787,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.2171,                 1.1176,                 1.3287,                0.77548,                0.56504,                0.63872,                0.41427,                 1.3157,                 1.4842,                 1.5161,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.2141,                 1.1073,                 1.3356,                0.74912,                0.54587,                0.64093,                0.43235,                 1.2958,                 1.4382,                 1.4787,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.2122,                 1.1094,                 1.3289,                0.77294,                0.57946,                0.62975,                0.40441,                  1.333,                 1.4179,                 1.4986,             0.00089141,             0.00089141,             0.00089141
                     41,                  1.211,                 1.1048,                  1.338,                0.71383,                0.57971,                0.63384,                0.42294,                 1.3604,                 1.4338,                 1.5449,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.1984,                 1.0688,                 1.3166,                0.78991,                0.54316,                0.62944,                0.40943,                 1.3845,                 1.4609,                 1.5789,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.1979,                  1.077,                 1.3201,                0.74922,                0.59702,                 0.6538,                0.43521,                 1.3384,                 1.4433,                 1.5181,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.1892,                 1.0539,                 1.3134,                0.72333,                0.60655,                0.63569,                0.43629,                 1.2973,                 1.4639,                 1.4762,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.1877,                 1.0496,                 1.3068,                0.73858,                0.60494,                0.64795,                0.43736,                 1.3242,                 1.4421,                 1.5344,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.1796,                 1.0392,                 1.3049,                0.81563,                0.55005,                0.64195,                0.42563,                 1.3272,                 1.4081,                 1.5067,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.1699,                  1.023,                 1.3009,                0.73556,                0.56687,                0.62177,                0.41079,                 1.3113,                 1.3735,                 1.4692,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.1613,                 1.0167,                 1.2899,                0.66152,                0.65473,                0.62863,                0.41027,                  1.374,                 1.4268,                 1.5764,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.1572,                  1.006,                 1.2833,                0.71412,                 0.6299,                0.64129,                0.43055,                  1.319,                 1.4061,                 1.5077,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.1516,                0.99619,                 1.2763,                0.67957,                0.64721,                0.61584,                0.41177,                 1.3454,                 1.4938,                 1.5406,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.1504,                0.99315,                 1.2798,                0.74803,                0.54889,                0.63483,                 0.4249,                 1.3068,                 1.4213,                 1.4715,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.1363,                 0.9804,                 1.2776,                0.80713,                 0.5517,                0.67026,                0.43627,                 1.3484,                 1.3378,                 1.4854,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.1454,                0.98011,                  1.274,                0.69832,                0.61769,                 0.6562,                0.43526,                 1.3414,                 1.3899,                  1.514,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.1259,                0.96448,                 1.2664,                0.63707,                  0.629,                0.63265,                0.43352,                 1.3175,                 1.3845,                 1.4802,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.1264,                0.95788,                 1.2654,                0.71003,                0.61734,                 0.6474,                 0.4339,                 1.3263,                 1.3779,                 1.5012,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.1244,                0.95495,                 1.2633,                0.68535,                0.63933,                0.66134,                0.45134,                 1.3271,                 1.3763,                 1.5218,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.1214,                0.93931,                 1.2595,                0.69978,                0.63167,                 0.6467,                0.43223,                 1.3538,                 1.3686,                 1.5438,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.1097,                0.93474,                 1.2542,                 0.6893,                0.66905,                0.65154,                 0.4379,                 1.3334,                 1.3507,                 1.4889,             0.00063676,             0.00063676,             0.00063676
                     59,                  1.112,                0.93625,                 1.2503,                0.76107,                0.63251,                0.65934,                0.45121,                  1.355,                 1.3521,                 1.5266,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.1004,                0.91635,                  1.244,                0.72513,                0.61858,                0.63589,                0.42839,                 1.3395,                 1.4098,                 1.5157,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.0994,                 0.9097,                 1.2425,                0.69516,                0.62855,                0.64469,                0.44194,                  1.317,                 1.3732,                 1.5045,             0.00059432,             0.00059432,             0.00059432
                     62,                  1.095,                 0.9034,                 1.2382,                0.74094,                0.63746,                0.64781,                0.43218,                 1.3698,                 1.3971,                 1.5208,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.0994,                 0.9011,                 1.2361,                0.72696,                0.58314,                0.63653,                0.41887,                 1.3943,                 1.3908,                 1.5846,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.0944,                0.89291,                 1.2332,                0.66293,                0.66034,                0.64728,                0.43589,                 1.3266,                 1.3429,                 1.4988,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.0861,                0.88493,                 1.2333,                0.61536,                0.69401,                0.63819,                0.43852,                 1.3489,                 1.3432,                 1.5116,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.0833,                0.87784,                 1.2267,                 0.6839,                0.64637,                0.64664,                0.43827,                 1.3326,                 1.3521,                 1.5048,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.0679,                0.86864,                 1.2133,                0.69119,                0.63608,                0.65369,                0.43849,                 1.3258,                  1.322,                 1.4888,             0.00050944,             0.00050944,             0.00050944
